environment_id,simplified_edge_id,u,v,network_length,straight_distance,circuity,source_fragment_count,source_shape_provenance
38,env38_simplified_edge_00027,env38_topology_location_0051,env38_topology_location_0053,1.6338756638215002,1.633875663785291,1.0000000000221616,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00028,env38_topology_location_0051,env38_topology_location_0057,35.0783560358813,34.98911110517842,1.0025506486985225,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00029,env38_topology_location_0052,env38_topology_location_0053,0.2708370165057581,0.27083701650687736,0.9999999999958674,1,"[""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00030,env38_topology_location_0053,env38_topology_location_0054,0.3014535695529683,0.3014535695516725,1.0000000000042986,1,"[""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00031,env38_topology_location_0053,env38_topology_location_0064,21.355513408674945,21.355513408706862,0.9999999999985054,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00032,env38_topology_location_0054,env38_topology_location_0059,61.92867573646569,61.205539456878824,1.011814882868508,2,"[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00033,env38_topology_location_0054,env38_topology_location_0064,21.34646347977014,21.346463479765085,1.000000000000237,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00034,env38_topology_location_0057,env38_topology_location_0058,0.1706880113698081,0.17068801136935394,1.0000000000026608,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00035,env38_topology_location_0057,env38_topology_location_0076,62.23890674781235,61.93640296598258,1.0048841031662092,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00036,env38_topology_location_0059,env38_topology_location_0066,52.51635038092916,50.19702375563983,1.0462044649615057,4,"[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""]"
38,env38_simplified_edge_00037,env38_topology_location_0059,env38_topology_location_0084,68.03334358172839,66.95285706670441,1.0161380195313772,3,"[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""]"
